transactionid,date,year,month,quarter,productkey,geokey,channelkey,segmentkey,quantity,unitprice_usd,discount_pct,revenue_usd,revenue_local,currency,cogs_usd,margin_usd,margin_pct
13294,2022-01-02,2022,1,Q1,208,1,4,4,1,51.34,0.6,51.05,880.17,MXN,16.34,34.71,68.0
27769,2022-01-02,2022,1,Q1,302,2,5,5,6,56.17,2.1,329.96,1649.8,BRL,108.89,221.07,67.0
9439,2022-01-02,2022,1,Q1,104,4,6,2,4,18.27,14.4,62.6,23185.19,ARS,25.04,37.56,60.0
18433,2022-01-02,2022,1,Q1,208,1,3,4,1,56.22,1.2,55.53,957.41,MXN,17.77,37.76,68.0
4130,2022-01-02,2022,1,Q1,101,3,1,2,2,22.26,6.3,41.7,173750.0,COP,15.85,25.85,62.0
24304,2022-01-02,2022,1,Q1,404,4,4,6,2,36.4,4.5,69.54,25755.56,ARS,23.64,45.9,66.0
7583,2022-01-02,2022,1,Q1,109,3,4,2,4,20.6,0.7,81.86,341083.33,COP,30.29,51.57,63.0
12528,2022-01-02,2022,1,Q1,107,1,1,2,6,16.0,8.5,87.89,1515.34,MXN,35.16,52.73,60.0
22739,2022-01-02,2022,1,Q1,109,3,6,2,3,19.83,2.4,58.07,241958.33,COP,21.49,36.58,63.0
10048,2022-01-02,2022,1,Q1,110,3,3,2,4,13.34,4.9,50.76,211500.0,COP,19.29,31.47,62.0
17189,2022-01-02,2022,1,Q1,306,4,5,2,6,37.15,3.7,214.57,79470.37,ARS,79.39,135.18,63.0
19506,2022-01-02,2022,1,Q1,405,3,3,6,2,25.28,0.3,50.42,210083.33,COP,17.65,32.77,65.0
14822,2022-01-02,2022,1,Q1,302,5,3,5,5,59.08,0.4,294.21,267463.64,CLP,97.09,197.12,67.0
7733,2022-01-02,2022,1,Q1,406,2,6,2,2,19.13,10.1,34.37,171.85,BRL,13.06,21.31,62.0
17309,2022-01-02,2022,1,Q1,111,1,3,3,4,16.29,2.1,63.8,1100.0,MXN,22.97,40.83,64.0
13153,2022-01-03,2022,1,Q1,404,5,4,2,2,38.5,4.0,73.96,67236.36,CLP,25.15,48.81,66.0
6755,2022-01-03,2022,1,Q1,113,1,4,2,3,14.67,4.0,42.25,728.45,MXN,16.9,25.35,60.0
30520,2022-01-03,2022,1,Q1,404,2,1,6,4,36.77,14.5,125.68,628.4,BRL,42.73,82.95,66.0
3218,2022-01-03,2022,1,Q1,101,2,3,2,4,22.14,1.3,87.4,437.0,BRL,33.21,54.19,62.0
16341,2022-01-03,2022,1,Q1,114,1,1,3,4,9.63,12.9,33.55,578.45,MXN,10.74,22.81,68.0
24109,2022-01-03,2022,1,Q1,114,1,4,3,3,9.55,3.8,27.55,475.0,MXN,8.82,18.73,68.0
23358,2022-01-03,2022,1,Q1,110,1,4,2,3,14.02,1.4,41.48,715.17,MXN,15.76,25.72,62.0
13653,2022-01-03,2022,1,Q1,111,4,4,1,1,16.93,4.6,16.14,5977.78,ARS,5.81,10.33,64.0
30937,2022-01-03,2022,1,Q1,111,1,6,1,5,17.46,7.2,81.03,1397.07,MXN,29.17,51.86,64.0
2912,2022-01-03,2022,1,Q1,106,1,4,3,4,12.59,3.0,48.89,842.93,MXN,17.6,31.29,64.0
2328,2022-01-03,2022,1,Q1,404,3,3,6,2,36.64,4.3,70.11,292125.0,COP,23.84,46.27,66.0
24845,2022-01-03,2022,1,Q1,110,1,7,3,3,13.51,3.1,39.27,677.07,MXN,14.92,24.35,62.0
25480,2022-01-03,2022,1,Q1,403,1,6,6,4,23.84,4.2,91.39,1575.69,MXN,32.9,58.49,64.0
14229,2022-01-03,2022,1,Q1,203,5,4,3,3,94.23,4.7,269.53,245027.27,CLP,75.47,194.06,72.0
2715,2022-01-03,2022,1,Q1,302,3,5,5,2,57.86,4.3,110.73,461375.0,COP,36.54,74.19,67.0
29074,2022-01-04,2022,1,Q1,205,1,4,4,1,118.07,4.4,112.89,1946.38,MXN,31.61,81.28,72.0
29473,2022-01-04,2022,1,Q1,104,5,3,1,3,18.51,1.0,55.0,50000.0,CLP,22.0,33.0,60.0
19030,2022-01-04,2022,1,Q1,301,2,3,2,4,35.06,1.3,138.41,692.05,BRL,48.44,89.97,65.0
21504,2022-01-04,2022,1,Q1,106,4,4,2,3,13.08,3.1,38.0,14074.07,ARS,13.68,24.32,64.0
12815,2022-01-04,2022,1,Q1,209,4,4,4,1,66.75,4.9,63.51,23522.22,ARS,19.05,44.46,70.0
23531,2022-01-04,2022,1,Q1,302,1,5,5,4,59.35,4.3,227.21,3917.41,MXN,74.98,152.23,67.0
20369,2022-01-04,2022,1,Q1,305,2,4,2,3,22.03,4.5,63.12,315.6,BRL,22.72,40.4,64.0
7915,2022-01-04,2022,1,Q1,205,1,4,4,2,110.15,3.1,213.44,3680.0,MXN,59.76,153.68,72.0
21821,2022-01-04,2022,1,Q1,401,1,4,2,1,33.18,0.9,32.89,567.07,MXN,11.84,21.05,64.0
10365,2022-01-04,2022,1,Q1,112,2,1,1,4,10.83,5.9,40.79,203.95,BRL,15.5,25.29,62.0
11032,2022-01-04,2022,1,Q1,209,2,3,4,1,70.92,2.2,69.36,346.8,BRL,20.81,48.55,70.0
9707,2022-01-04,2022,1,Q1,111,1,4,2,2,17.0,4.9,32.33,557.41,MXN,11.64,20.69,64.0
9934,2022-01-05,2022,1,Q1,114,5,2,2,4,9.62,8.7,35.14,31945.45,CLP,11.24,23.9,68.0
20813,2022-01-05,2022,1,Q1,208,2,3,3,2,55.2,2.4,107.72,538.6,BRL,34.47,73.25,68.0
21807,2022-01-05,2022,1,Q1,305,5,3,5,3,21.03,2.1,61.74,56127.27,CLP,22.23,39.51,64.0
20803,2022-01-05,2022,1,Q1,301,5,4,5,3,35.37,0.4,105.74,96127.27,CLP,37.01,68.73,65.0
19663,2022-01-05,2022,1,Q1,402,4,1,6,3,27.39,4.3,78.62,29118.52,ARS,27.52,51.1,65.0
29419,2022-01-05,2022,1,Q1,208,1,4,4,2,52.86,1.0,104.7,1805.17,MXN,33.5,71.2,68.0
23298,2022-01-05,2022,1,Q1,109,2,4,2,3,19.3,0.4,57.64,288.2,BRL,21.33,36.31,63.0
25424,2022-01-05,2022,1,Q1,305,5,5,2,4,21.54,1.0,85.3,77545.45,CLP,30.71,54.59,64.0
28901,2022-01-05,2022,1,Q1,110,1,2,3,2,14.64,2.7,28.5,491.38,MXN,10.83,17.67,62.0
29411,2022-01-05,2022,1,Q1,106,1,2,1,5,13.2,8.9,60.16,1037.24,MXN,21.66,38.5,64.0
1922,2022-01-05,2022,1,Q1,108,1,7,2,1,9.99,1.5,9.84,169.66,MXN,3.44,6.4,65.0
24849,2022-01-05,2022,1,Q1,112,1,4,3,4,10.95,2.4,42.74,736.9,MXN,16.24,26.5,62.0
25145,2022-01-05,2022,1,Q1,304,3,4,5,6,46.72,2.8,272.34,1134750.0,COP,103.49,168.85,62.0
8481,2022-01-05,2022,1,Q1,302,2,3,5,4,55.82,4.9,212.34,1061.7,BRL,70.07,142.27,67.0
15344,2022-01-06,2022,1,Q1,404,3,6,6,4,36.24,9.5,131.24,546833.33,COP,44.62,86.62,66.0
23453,2022-01-06,2022,1,Q1,203,1,3,3,2,90.89,2.4,177.45,3059.48,MXN,49.69,127.76,72.0
13026,2022-01-06,2022,1,Q1,202,1,7,4,1,49.76,3.2,48.17,830.52,MXN,15.41,32.76,68.0
22074,2022-01-06,2022,1,Q1,110,2,3,2,6,13.3,4.6,76.07,380.35,BRL,28.91,47.16,62.0
15683,2022-01-06,2022,1,Q1,204,1,3,4,2,43.86,4.5,83.8,1444.83,MXN,25.14,58.66,70.0
18747,2022-01-06,2022,1,Q1,114,1,4,1,4,10.04,2.5,39.17,675.34,MXN,12.53,26.64,68.0
12961,2022-01-06,2022,1,Q1,303,4,4,5,5,26.75,3.6,128.87,47729.63,ARS,45.1,83.77,65.0
15369,2022-01-06,2022,1,Q1,203,2,3,3,1,93.25,1.6,91.77,458.85,BRL,25.7,66.07,72.0
11982,2022-01-06,2022,1,Q1,307,2,3,5,6,32.85,0.9,195.35,976.75,BRL,66.42,128.93,66.0
6738,2022-01-06,2022,1,Q1,203,2,7,3,1,96.73,1.1,95.69,478.45,BRL,26.79,68.9,72.0
28464,2022-01-06,2022,1,Q1,303,2,5,5,3,26.24,2.7,76.6,383.0,BRL,26.81,49.79,65.0
6898,2022-01-06,2022,1,Q1,112,5,1,2,4,10.69,5.2,40.56,36872.73,CLP,15.41,25.15,62.0
10667,2022-01-06,2022,1,Q1,112,3,4,2,4,10.58,4.3,40.51,168791.67,COP,15.39,25.12,62.0
22993,2022-01-06,2022,1,Q1,303,1,5,5,7,27.18,3.7,183.25,3159.48,MXN,64.14,119.11,65.0
2612,2022-01-06,2022,1,Q1,304,3,5,2,4,46.49,3.2,179.93,749708.33,COP,68.37,111.56,62.0
17322,2022-01-06,2022,1,Q1,103,1,4,1,3,12.8,3.1,37.23,641.9,MXN,13.03,24.2,65.0
19714,2022-01-06,2022,1,Q1,304,2,3,5,3,46.91,1.5,138.65,693.25,BRL,52.69,85.96,62.0
8407,2022-01-06,2022,1,Q1,203,1,3,4,3,91.32,2.8,266.41,4593.28,MXN,74.59,191.82,72.0
11567,2022-01-06,2022,1,Q1,108,5,4,3,3,10.18,1.9,29.96,27236.36,CLP,10.49,19.47,65.0
20316,2022-01-06,2022,1,Q1,402,2,6,6,1,28.6,13.7,24.7,123.5,BRL,8.64,16.06,65.0
6123,2022-01-06,2022,1,Q1,114,1,2,1,6,10.4,1.0,61.77,1065.0,MXN,19.77,42.0,68.0
26462,2022-01-07,2022,1,Q1,105,1,4,1,4,14.74,4.3,56.44,973.1,MXN,21.45,34.99,62.0
2633,2022-01-07,2022,1,Q1,112,2,4,1,5,11.08,1.1,54.8,274.0,BRL,20.82,33.98,62.0
822,2022-01-07,2022,1,Q1,210,2,7,3,3,50.34,4.7,143.95,719.75,BRL,46.06,97.89,68.0
21388,2022-01-07,2022,1,Q1,104,4,2,2,3,19.76,12.9,51.63,19122.22,ARS,20.65,30.98,60.0
13086,2022-01-07,2022,1,Q1,111,2,1,1,1,17.06,8.8,15.55,77.75,BRL,5.6,9.95,64.0
11996,2022-01-07,2022,1,Q1,107,2,1,2,4,16.39,8.2,60.17,300.85,BRL,24.07,36.1,60.0
8874,2022-01-07,2022,1,Q1,408,1,1,2,2,96.03,0.5,191.08,3294.48,MXN,55.41,135.67,71.0
28392,2022-01-07,2022,1,Q1,206,4,7,4,1,62.57,3.8,60.16,22281.48,ARS,18.05,42.11,70.0
11352,2022-01-07,2022,1,Q1,207,3,7,4,1,106.41,2.4,103.84,432666.67,COP,29.08,74.76,72.0
17175,2022-01-07,2022,1,Q1,210,4,3,4,1,51.76,1.7,50.87,18840.74,ARS,16.28,34.59,68.0
19052,2022-01-07,2022,1,Q1,307,1,5,5,4,31.84,1.3,125.73,2167.76,MXN,42.75,82.98,66.0
17173,2022-01-07,2022,1,Q1,114,1,1,3,3,10.21,8.7,27.98,482.41,MXN,8.95,19.03,68.0
23539,2022-01-07,2022,1,Q1,112,1,6,3,3,10.85,2.4,31.76,547.59,MXN,12.07,19.69,62.0
31875,2022-01-07,2022,1,Q1,109,2,1,2,5,20.81,14.7,88.81,444.05,BRL,32.86,55.95,63.0
31631,2022-01-07,2022,1,Q1,103,2,6,2,3,13.46,14.1,34.68,173.4,BRL,12.14,22.54,65.0
4412,2022-01-07,2022,1,Q1,303,2,5,5,4,27.01,1.3,106.61,533.05,BRL,37.31,69.3,65.0
14298,2022-01-07,2022,1,Q1,407,1,1,6,1,16.87,8.5,15.44,266.21,MXN,5.71,9.73,63.0
23219,2022-01-07,2022,1,Q1,402,1,6,3,1,27.72,5.3,26.26,452.76,MXN,9.19,17.07,65.0
13138,2022-01-07,2022,1,Q1,403,1,4,2,2,25.14,2.6,48.95,843.97,MXN,17.62,31.33,64.0
25117,2022-01-07,2022,1,Q1,303,3,4,5,5,25.07,0.1,125.24,521833.33,COP,43.83,81.41,65.0
16001,2022-01-07,2022,1,Q1,306,2,3,5,5,36.57,1.1,180.78,903.9,BRL,66.89,113.89,63.0
30762,2022-01-07,2022,1,Q1,110,3,7,3,3,14.42,1.3,42.68,177833.33,COP,16.22,26.46,62.0
11927,2022-01-07,2022,1,Q1,107,5,6,2,5,15.93,2.4,77.77,70700.0,CLP,31.11,46.66,60.0
1902,2022-01-08,2022,1,Q1,101,2,4,3,3,23.11,1.9,68.0,340.0,BRL,25.84,42.16,62.0
3318,2022-01-08,2022,1,Q1,409,4,3,6,3,32.34,3.8,93.28,34548.15,ARS,33.58,59.7,64.0
13201,2022-01-08,2022,1,Q1,404,2,4,6,3,38.55,1.7,113.69,568.45,BRL,38.65,75.04,66.0
9866,2022-01-08,2022,1,Q1,207,2,4,4,2,112.93,2.2,220.96,1104.8,BRL,61.87,159.09,72.0
27475,2022-01-08,2022,1,Q1,408,3,6,6,2,96.82,2.9,187.96,783166.67,COP,54.51,133.45,71.0
10031,2022-01-08,2022,1,Q1,304,2,4,2,5,43.85,4.4,209.66,1048.3,BRL,79.67,129.99,62.0
1427,2022-01-08,2022,1,Q1,105,1,6,2,5,14.92,0.2,74.45,1283.62,MXN,28.29,46.16,62.0
26107,2022-01-08,2022,1,Q1,208,5,4,4,3,53.57,3.1,155.75,141590.91,CLP,49.84,105.91,68.0
209,2022-01-08,2022,1,Q1,307,3,5,2,3,32.68,3.4,94.72,394666.67,COP,32.2,62.52,66.0
8953,2022-01-08,2022,1,Q1,207,1,7,3,1,109.39,0.3,109.01,1879.48,MXN,30.52,78.49,72.0
15972,2022-01-08,2022,1,Q1,307,4,5,5,3,32.01,3.1,93.1,34481.48,ARS,31.65,61.45,66.0
18881,2022-01-08,2022,1,Q1,403,1,6,6,1,23.33,13.7,20.13,347.07,MXN,7.25,12.88,64.0
7723,2022-01-08,2022,1,Q1,402,3,1,6,4,27.87,13.9,96.02,400083.33,COP,33.61,62.41,65.0
26638,2022-01-09,2022,1,Q1,102,1,2,3,2,12.58,5.6,23.76,409.66,MXN,8.32,15.44,65.0
10911,2022-01-09,2022,1,Q1,114,3,4,2,4,9.59,1.9,37.66,156916.67,COP,12.05,25.61,68.0
73,2022-01-09,2022,1,Q1,209,4,4,3,2,71.35,4.8,135.91,50337.04,ARS,40.77,95.14,70.0
24396,2022-01-09,2022,1,Q1,207,3,4,3,1,109.79,2.3,107.28,447000.0,COP,30.04,77.24,72.0
10776,2022-01-09,2022,1,Q1,103,4,3,3,4,12.36,0.0,49.43,18307.41,ARS,17.3,32.13,65.0
26249,2022-01-09,2022,1,Q1,307,4,5,5,4,31.26,2.7,121.63,45048.15,ARS,41.35,80.28,66.0
4901,2022-01-09,2022,1,Q1,104,1,1,1,6,19.31,0.5,115.29,1987.76,MXN,46.12,69.17,60.0
25449,2022-01-09,2022,1,Q1,210,1,4,4,3,52.85,0.5,157.69,2718.79,MXN,50.46,107.23,68.0
9180,2022-01-09,2022,1,Q1,305,1,5,2,4,22.41,4.6,85.54,1474.83,MXN,30.79,54.75,64.0
6572,2022-01-09,2022,1,Q1,105,1,4,3,4,14.68,1.5,57.83,997.07,MXN,21.98,35.85,62.0
28365,2022-01-09,2022,1,Q1,405,2,3,6,3,25.33,0.9,75.28,376.4,BRL,26.35,48.93,65.0
31295,2022-01-09,2022,1,Q1,208,3,4,4,2,55.74,0.7,110.72,461333.33,COP,35.43,75.29,68.0
23597,2022-01-09,2022,1,Q1,106,1,4,2,3,12.5,3.4,36.23,624.66,MXN,13.04,23.19,64.0
11747,2022-01-09,2022,1,Q1,113,1,3,2,4,15.32,4.6,58.49,1008.45,MXN,23.4,35.09,60.0
21252,2022-01-09,2022,1,Q1,207,4,3,4,1,111.62,1.3,110.21,40818.52,ARS,30.86,79.35,72.0
9487,2022-01-09,2022,1,Q1,207,3,7,4,3,109.57,1.6,323.43,1347625.0,COP,90.56,232.87,72.0
16658,2022-01-09,2022,1,Q1,408,4,6,6,1,99.73,14.5,85.24,31570.37,ARS,24.72,60.52,71.0
15225,2022-01-09,2022,1,Q1,306,2,3,2,7,39.9,4.2,267.66,1338.3,BRL,99.03,168.63,63.0
11792,2022-01-09,2022,1,Q1,409,1,1,6,1,33.96,2.0,33.29,573.97,MXN,11.98,21.31,64.0
19317,2022-01-09,2022,1,Q1,402,3,4,2,2,28.02,4.0,53.79,224125.0,COP,18.83,34.96,65.0
22391,2022-01-09,2022,1,Q1,111,1,2,2,3,16.26,3.3,47.18,813.45,MXN,16.98,30.2,64.0
2295,2022-01-09,2022,1,Q1,101,1,1,1,4,24.13,1.9,94.73,1633.28,MXN,36.0,58.73,62.0
1484,2022-01-09,2022,1,Q1,109,4,2,2,5,20.55,10.7,91.72,33970.37,ARS,33.94,57.78,63.0
25285,2022-01-09,2022,1,Q1,105,1,4,1,3,14.48,3.6,41.89,722.24,MXN,15.92,25.97,62.0
28127,2022-01-10,2022,1,Q1,101,4,3,3,4,21.9,3.7,84.38,31251.85,ARS,32.06,52.32,62.0
1169,2022-01-10,2022,1,Q1,406,1,4,2,2,19.44,2.0,38.12,657.24,MXN,14.49,23.63,62.0
16328,2022-01-10,2022,1,Q1,103,4,2,2,4,12.73,8.6,46.55,17240.74,ARS,16.29,30.26,65.0
15521,2022-01-10,2022,1,Q1,207,1,3,3,1,114.36,5.0,108.66,1873.45,MXN,30.42,78.24,72.0
23029,2022-01-10,2022,1,Q1,307,1,3,5,4,31.83,1.9,124.85,2152.59,MXN,42.45,82.4,66.0
22002,2022-01-10,2022,1,Q1,307,2,3,2,4,32.47,1.7,127.65,638.25,BRL,43.4,84.25,66.0
3913,2022-01-10,2022,1,Q1,409,2,1,6,1,33.58,4.2,32.16,160.8,BRL,11.58,20.58,64.0
12988,2022-01-10,2022,1,Q1,404,3,6,6,3,39.05,13.8,100.98,420750.0,COP,34.33,66.65,66.0
24880,2022-01-10,2022,1,Q1,203,4,3,3,1,92.05,1.6,90.59,33551.85,ARS,25.37,65.22,72.0
21115,2022-01-10,2022,1,Q1,103,4,3,3,4,13.41,0.4,53.42,19785.19,ARS,18.7,34.72,65.0
12446,2022-01-10,2022,1,Q1,203,2,4,4,1,93.34,2.7,90.81,454.05,BRL,25.43,65.38,72.0
5340,2022-01-10,2022,1,Q1,103,2,4,1,3,13.18,2.9,38.39,191.95,BRL,13.44,24.95,65.0
4504,2022-01-10,2022,1,Q1,403,2,4,3,2,24.72,0.7,49.11,245.55,BRL,17.68,31.43,64.0
10292,2022-01-11,2022,1,Q1,206,3,7,3,1,66.46,1.2,65.65,273541.67,COP,19.7,45.95,70.0
5948,2022-01-11,2022,1,Q1,409,3,3,2,1,34.31,1.5,33.79,140791.67,COP,12.16,21.63,64.0
13400,2022-01-11,2022,1,Q1,207,3,3,4,1,108.47,4.1,104.08,433666.67,COP,29.14,74.94,72.0
24492,2022-01-11,2022,1,Q1,304,1,3,5,6,43.32,2.1,254.39,4386.03,MXN,96.67,157.72,62.0
31685,2022-01-11,2022,1,Q1,109,1,2,2,2,20.32,7.7,37.49,646.38,MXN,13.87,23.62,63.0
30555,2022-01-11,2022,1,Q1,210,3,4,3,1,51.91,2.7,50.53,210541.67,COP,16.17,34.36,68.0
6954,2022-01-11,2022,1,Q1,303,4,3,5,4,26.82,0.5,106.8,39555.56,ARS,37.38,69.42,65.0
26671,2022-01-11,2022,1,Q1,106,1,6,1,3,12.96,14.5,33.24,573.1,MXN,11.97,21.27,64.0
17373,2022-01-11,2022,1,Q1,308,1,5,5,5,29.07,3.8,139.8,2410.34,MXN,48.93,90.87,65.0
4771,2022-01-11,2022,1,Q1,303,2,4,5,3,26.43,3.2,76.74,383.7,BRL,26.86,49.88,65.0
30324,2022-01-11,2022,1,Q1,409,2,6,3,1,33.05,12.8,28.81,144.05,BRL,10.37,18.44,64.0
3745,2022-01-11,2022,1,Q1,409,2,6,3,1,33.79,10.7,30.19,150.95,BRL,10.87,19.32,64.0
25212,2022-01-11,2022,1,Q1,409,4,6,3,2,34.23,11.3,60.71,22485.19,ARS,21.86,38.85,64.0
22759,2022-01-11,2022,1,Q1,403,5,4,6,2,23.95,2.4,46.75,42500.0,CLP,16.83,29.92,64.0
129,2022-01-11,2022,1,Q1,301,4,4,5,4,35.03,4.1,134.37,49766.67,ARS,47.03,87.34,65.0
22767,2022-01-11,2022,1,Q1,403,2,6,6,1,24.2,10.0,21.77,108.85,BRL,7.84,13.93,64.0
31243,2022-01-11,2022,1,Q1,205,2,3,4,1,111.61,4.6,106.49,532.45,BRL,29.82,76.67,72.0
17337,2022-01-11,2022,1,Q1,107,3,2,2,2,15.79,2.0,30.95,128958.33,COP,12.38,18.57,60.0
10017,2022-01-11,2022,1,Q1,207,5,4,4,2,109.62,1.2,216.64,196945.45,CLP,60.66,155.98,72.0
6351,2022-01-11,2022,1,Q1,401,2,1,6,2,30.7,14.9,52.28,261.4,BRL,18.82,33.46,64.0
5236,2022-01-11,2022,1,Q1,406,3,6,2,3,19.52,13.0,50.93,212208.33,COP,19.35,31.58,62.0
24772,2022-01-11,2022,1,Q1,408,3,6,3,2,94.6,1.1,187.18,779916.67,COP,54.28,132.9,71.0
8181,2022-01-11,2022,1,Q1,301,1,3,5,5,33.97,3.1,164.51,2836.38,MXN,57.58,106.93,65.0
19857,2022-01-12,2022,1,Q1,112,3,6,1,4,10.78,8.4,39.52,164666.67,COP,15.02,24.5,62.0
14899,2022-01-12,2022,1,Q1,402,2,4,3,3,26.67,2.4,78.12,390.6,BRL,27.34,50.78,65.0
17492,2022-01-12,2022,1,Q1,305,2,5,5,5,21.19,4.1,101.57,507.85,BRL,36.57,65.0,64.0
28984,2022-01-12,2022,1,Q1,208,2,3,4,2,52.18,1.3,103.05,515.25,BRL,32.98,70.07,68.0
11429,2022-01-12,2022,1,Q1,401,1,4,2,1,33.12,4.3,31.68,546.21,MXN,11.4,20.28,64.0
16893,2022-01-12,2022,1,Q1,108,4,1,3,3,10.32,5.7,29.2,10814.81,ARS,10.22,18.98,65.0
5863,2022-01-12,2022,1,Q1,109,1,2,1,5,20.29,12.5,88.76,1530.34,MXN,32.84,55.92,63.0
2762,2022-01-12,2022,1,Q1,107,5,3,2,4,15.63,2.2,61.12,55563.64,CLP,24.45,36.67,60.0
16986,2022-01-12,2022,1,Q1,204,4,7,3,2,43.93,2.3,85.87,31803.7,ARS,25.76,60.11,70.0
12658,2022-01-12,2022,1,Q1,406,3,1,6,3,19.42,2.3,56.9,237083.33,COP,21.62,35.28,62.0
2296,2022-01-12,2022,1,Q1,405,4,1,2,1,26.76,5.3,25.35,9388.89,ARS,8.87,16.48,65.0
20430,2022-01-12,2022,1,Q1,401,4,4,6,2,32.44,0.9,64.28,23807.41,ARS,23.14,41.14,64.0
30403,2022-01-12,2022,1,Q1,404,1,6,6,3,36.61,1.5,108.22,1865.86,MXN,36.79,71.43,66.0
1516,2022-01-12,2022,1,Q1,110,1,3,3,1,13.49,4.6,12.87,221.9,MXN,4.89,7.98,62.0
15996,2022-01-12,2022,1,Q1,111,2,1,3,2,16.22,1.2,32.06,160.3,BRL,11.54,20.52,64.0
30854,2022-01-12,2022,1,Q1,103,1,2,1,4,12.57,5.0,47.77,823.62,MXN,16.72,31.05,65.0
29880,2022-01-13,2022,1,Q1,106,3,3,2,5,13.52,2.7,65.74,273916.67,COP,23.67,42.07,64.0
14391,2022-01-13,2022,1,Q1,407,2,3,3,3,17.64,2.4,51.67,258.35,BRL,19.12,32.55,63.0
7575,2022-01-13,2022,1,Q1,307,1,4,2,5,30.44,2.9,147.71,2546.72,MXN,50.22,97.49,66.0
6554,2022-01-13,2022,1,Q1,402,3,4,6,3,28.99,0.4,86.65,361041.67,COP,30.33,56.32,65.0
3099,2022-01-13,2022,1,Q1,306,2,4,2,5,39.61,2.7,192.75,963.75,BRL,71.32,121.43,63.0
13482,2022-01-13,2022,1,Q1,209,2,7,4,1,68.65,4.9,65.32,326.6,BRL,19.6,45.72,70.0
