Date,Campaign_New,Canal,Spend,Impressions,Clicks,Engagements,LinkClicks,VideoViews
2024-12-31,Campaign_15,Meta,2943.39,295837,2899,185373.0,1.0,
2024-12-31,Campaign_25,Google Ads,5736.292224,340330,15088,84222.0,,67987.0
2024-12-31,Campaign_63,YouTube,13530.877156,1272004,426,633369.0,,631891.0
2024-12-31,Campaign_11,Meta,8764.3,134195,922,9781.0,337.0,
2024-12-31,Campaign_27,Google Ads,4968.211532,172687,38,0.0,,0.0
2024-12-31,Campaign_25,Google Ads,5867.936167,1091615,2578,415388.0,,389708.0
2024-12-31,Campiagn_14,Meta,1220.27,84202,218,6421.0,57.0,
2024-12-31,Campaign_25,Google Ads,4168.293272,300143,12154,73196.0,,58583.0
2024-12-31,Campaign_17,Meta,14210.99,1398084,5623,86392.0,5464.0,
2024-12-31,Campaign_13,Meta,11211.62,1974296,2523,86207.0,702.0,
2024-12-31,Campaign_53,TikTok,3328.51,562689,31241,,,142574.0
2024-12-31,Campaign_29,Google Ads,2053.572026,313713,8040,5.0,,0.0
2024-12-31,Campaign_12,Meta,4594.78,633565,5095,262227.0,3.0,
2024-12-31,Campaign_44,TikTok,4276.51,519576,3692,,,101973.0
2024-12-31,Campaign_18,Meta,4029.96,628278,15982,281574.0,5.0,
2024-12-31,Campiagn_14,Meta,15611.93,1156382,4815,100212.0,3078.0,
2024-12-31,Campaign_25,Google Ads,21923.387117,1371461,54931,363866.0,,309724.0
2024-12-31,Campaign_43,TikTok,2202.11,206373,712,,,12586.0
2024-12-31,Campaign_26,Google Ads,13895.216761,4185579,11588,793159.0,,779124.0
2024-12-31,Campiagn_14,Meta,4979.52,1259302,1462,62740.0,339.0,
2024-12-31,Campaign_60,YouTube,37941.853636,3860332,1294,909215.0,,872064.0
2024-12-31,Campiagn_14,Meta,24402.44,4502348,6771,229254.0,2081.0,
2024-12-31,Campaign_65,YouTube,6340.070236,679061,362,52686.0,,51682.0
2024-12-31,Campaign_65,YouTube,5174.609862,507227,1105,163414.0,,160128.0
2024-12-31,Campiagn_14,Meta,2087.98,90394,212,4361.0,79.0,
2024-12-31,Campaign_25,Google Ads,4652.221942,265962,12981,76912.0,,75865.0
2024-12-31,Campaign_44,TikTok,15369.77,2033988,5755,,,266496.0
2024-12-31,Campiagn_14,Meta,5000.96,969091,1531,36966.0,426.0,
2024-12-31,Campaign_43,TikTok,5794.6,602189,3927,,,33076.0
2024-12-31,Campaign_12,Meta,11379.14,1218044,18981,714626.0,289.0,
2024-12-31,Campaign_65,YouTube,2798.557686,492444,66,11156.0,,10555.0
2024-12-31,Campaign_62,YouTube,3783.537848,335936,51,325739.0,,325726.0
2024-12-31,Campaign_15,Meta,6743.16,1799244,1996,81426.0,402.0,
2024-12-31,Campaign_45,TikTok,8243.61,1611817,2427,,,9703.0
2024-12-31,Campiagn_48,TikTok,29014.2,4926724,214784,,,1406544.0
2024-12-31,Campaign_62,YouTube,5390.192494,883596,244,109831.0,,91454.0
2024-12-31,Campaign_7,DV360,3552.889965,478145,450,0.0,,192123.0
2024-12-31,Campaign_15,Meta,3556.46,424517,4073,203690.0,2.0,
2024-12-31,Campiagn_14,Meta,4106.859999,233584,518,23103.0,166.0,
2024-12-31,Campaign_65,YouTube,6358.665987,714270,501,40997.0,,39728.0
2024-12-31,Campaign_12,Meta,7109.76,1493063,2091,47107.0,1062.0,
2024-12-31,Campaign_53,TikTok,8541.98,1855857,74127,,,693276.0
2024-12-31,Campaign_12,Meta,8633.86,2179467,2980,97609.0,574.0,
2024-12-31,Campiagn_14,Meta,26543.07,1975216,4295,145868.0,971.0,
2024-12-31,Campaign_65,YouTube,4071.592414,446615,194,31057.0,,30425.0
2024-12-31,Campaign_43,TikTok,8532.87,1259568,76400,,,384465.0
2024-12-31,Campaign_6,DV360,4105.299518,320467,1415,0.0,,0.0
2024-12-31,Campiagn_14,Meta,14965.44,2571613,6554,74533.0,3099.0,
2024-12-31,Campaign_43,TikTok,6054.34,639069,2826,,,68239.0
2024-12-31,Campaign_43,TikTok,3560.81,770621,1362,,,6200.0
2024-12-31,Campaign_43,TikTok,6536.57,655115,2196,,,45790.0
2024-12-31,Campaign_25,Google Ads,13497.584077,754392,45,486970.0,,449695.0
2024-12-31,Campaign_29,Google Ads,3318.469049,282830,717,224674.0,,201951.0
2024-12-31,Campaign_19,Meta,5023.18,370611,15182,70513.0,9963.0,
2024-12-31,Campiagn_14,Meta,3129.83,846145,2178,1082.0,968.0,
2024-12-31,Campaign_65,YouTube,6990.96987,775574,545,44251.0,,43124.0
2024-12-31,Campaign_43,TikTok,10354.17,1013501,4009,,,63049.0
2024-12-31,Campiagn_14,Meta,5725.31,252277,18083,52998.0,11480.0,
2024-12-31,Campaign_25,Google Ads,6084.248881,2346628,6177,0.0,,0.0
2024-12-31,Campiagn_14,Meta,10381.66,695339,35978,158585.0,25522.0,
2024-12-31,Campaign_43,TikTok,5182.35,517161,1563,,,29070.0
2024-12-31,Campaign_15,Meta,15459.55,1346169,36726,204878.0,26444.0,
2024-12-31,Campaign_25,Google Ads,5906.184795,407999,95,169645.0,,152771.0
2024-12-31,Campaign_16,Meta,5887.53,368966,13049,69330.0,9923.0,
2024-12-31,Campaign_53,TikTok,9607.019999,674223,146299,,,79241.0
2024-12-31,Campaign_25,Google Ads,5284.080298,1876270,29030,63.0,,0.0
2024-12-31,Campiagn_14,Meta,747.95,38742,145,5626.0,71.0,
2024-12-31,Campaign_30,Google Ads,2695.40871,76034,0,0.0,,0.0
2024-12-31,Campaign_12,Meta,6633.47,1070498,36209,602343.0,1.0,
2024-12-31,Campaign_65,YouTube,25296.220423,2748806,1939,131460.0,,128634.0
2024-12-31,Campaign_60,YouTube,2891.477072,271809,1136,136704.0,,95161.0
2024-12-30,Campaign_25,Google Ads,5730.197062,298042,13953,77220.0,,66170.0
2024-12-30,Campaign_62,YouTube,5418.670333,682147,197,81168.0,,66136.0
2024-12-30,Campiagn_14,Meta,17949.1,1615592,4646,2832.0,2658.0,
2024-12-30,Campaign_44,TikTok,16326.84,2063438,7771,,,269919.0
2024-12-30,Campaign_43,TikTok,5507.9,543751,1789,,,30782.0
2024-12-30,Campaign_29,Google Ads,2161.247592,388080,7093,24.0,,0.0
2024-12-30,Campaign_12,Meta,9827.19,2264447,3240,109033.0,657.0,
2024-12-30,Campaign_15,Meta,7647.05,1871718,2012,85542.0,381.0,
2024-12-30,Campaign_44,TikTok,5643.73,727741,6987,,,142164.0
2024-12-30,Campaign_25,Google Ads,4133.464925,206074,8945,51637.0,,42310.0
2024-12-30,Campaign_50,TikTok,3197.0,447694,1915,,,55252.0
2024-12-30,Campaign_11,Meta,5396.2,478463,1576,25252.0,509.0,
2024-12-30,Campaign_29,Google Ads,3320.072259,284511,868,198710.0,,174196.0
2024-12-30,Campaign_43,TikTok,6304.36,647617,3106,,,69680.0
2024-12-30,Campaign_43,TikTok,6932.32,661861,2525,,,48519.0
2024-12-30,Campaign_13,Meta,12721.31,2076768,2623,91593.0,665.0,
2024-12-30,Campaign_25,Google Ads,2185.819709,120695,5629,32245.0,,27991.0
2024-12-30,Campaign_27,Google Ads,5492.177029,190899,39,0.0,,0.0
2024-12-30,Campaign_43,TikTok,12738.85,1659243,31917,,,200152.0
2024-12-30,Campaign_18,Meta,4732.68,654602,18755,321567.0,8.0,
2024-12-30,Campiagn_14,Meta,27694.08,4733393,6952,244063.0,2041.0,
2024-12-30,Campaign_15,Meta,7716.22,1741016,1740,83421.0,487.0,
2024-12-30,Campaign_65,YouTube,10127.955641,859206,506,183658.0,,181080.0
2024-12-30,Campaign_65,YouTube,6357.657224,690781,484,42558.0,,41185.0
2024-12-30,Campaign_25,Google Ads,5904.851957,395929,142,133478.0,,115820.0
2024-12-30,Campaign_19,Meta,5890.0,359423,22036,76936.0,14338.0,
2024-12-30,Campiagn_14,Meta,6911.93,289926,26572,66444.0,16769.0,
2024-12-30,Campiagn_14,Meta,21324.42,1077387,6135,107128.0,3797.0,
2024-12-30,Campaign_43,TikTok,6465.93,634708,3810,,,36798.0
2024-12-30,Campaign_16,Meta,6671.65,352130,17647,68725.0,13394.0,
2024-12-30,Campaign_53,TikTok,8722.66,1404222,75303,,,504206.0
2024-12-30,Campiagn_14,Meta,14147.43,2430476,5898,70149.0,2912.0,
2024-12-30,Campaign_6,DV360,4492.430886,345489,1506,0.0,,0.0
2024-12-30,Campaign_65,YouTube,6990.607527,766909,504,44727.0,,43484.0
2024-12-30,Campaign_25,Google Ads,7012.348245,2306606,4872,0.0,,0.0
2024-12-30,Campaign_53,TikTok,12536.48,1751863,103744,,,438465.0
2024-12-30,Campaign_30,Google Ads,2979.439696,84046,0,0.0,,0.0
2024-12-30,Campaign_25,Google Ads,4622.795359,247049,12063,71326.0,,70041.0
2024-12-30,Campaign_43,TikTok,10840.95,964199,4256,,,66282.0
2024-12-30,Campiagn_14,Meta,1318.16,90958,218,6592.0,60.0,
2024-12-30,Campaign_65,YouTube,25440.550257,2633857,1759,121124.0,,118465.0
2024-12-30,Campiagn_14,Meta,11392.86,597807,42359,110869.0,28166.0,
2024-12-30,Campaign_15,Meta,17891.84,1306551,52164,208255.0,37074.0,
2024-12-30,Campaign_65,YouTube,2946.489373,487666,70,11688.0,,10892.0
2024-12-30,Campaign_63,YouTube,13511.204903,1017274,458,594197.0,,592436.0
2024-12-30,Campaign_16,Meta,15427.69,894578,43843,164641.0,34372.0,
2024-12-30,Campaign_53,TikTok,10007.749999,655942,147776,,,76615.0
2024-12-30,Campaign_28,Google Ads,7987.77046,564080,1011,264645.0,,241418.0
2024-12-30,Campiagn_14,Meta,923.26,47808,214,6824.0,81.0,
2024-12-30,Campaign_43,TikTok,3620.62,788780,1578,,,6201.0
2024-12-30,Campaign_15,Meta,7665.21,1406383,1559,55371.0,497.0,
2024-12-30,Campiagn_14,Meta,2281.7,98770,218,4766.0,72.0,
2024-12-30,Campaign_60,YouTube,2895.958818,262075,1028,126451.0,,92233.0
2024-12-30,Campaign_44,TikTok,4576.28,509065,5122,,,103339.0
2024-12-30,Campiagn_14,Meta,5674.85,1317424,1521,65925.0,385.0,
2024-12-30,Campaign_15,Meta,3671.51,391461,4817,205827.0,1.0,
2024-12-30,Campaign_12,Meta,8009.81,1587418,2264,50959.0,1136.0,
2024-12-30,Campaign_13,Meta,6242.56,1101793,1488,42055.0,533.0,
2024-12-30,Campaign_19,Meta,3475.51,158413,9441,86448.0,8009.0,
2024-12-30,Campaign_60,YouTube,37955.00926,3941766,1141,831144.0,,788537.0
2024-12-30,Campaign_26,Google Ads,16130.178066,4261257,10787,612165.0,,602175.0
2024-12-30,Campaign_25,Google Ads,6326.67522,1043193,2209,309477.0,,293388.0
2024-12-30,Campaign_53,TikTok,3508.51,406598,31927,,,105357.0
2024-12-30,Campiagn_14,Meta,4869.02,276979,552,26061.0,172.0,
2024-12-30,Campaign_15,Meta,3523.74,304325,3017,196486.0,0.0,
2024-12-30,Campaign_12,Meta,7762.61,1169225,41248,678805.0,2.0,
2024-12-30,Campiagn_14,Meta,5713.53,984723,1690,38642.0,484.0,
2024-12-30,Campaign_65,YouTube,6355.522012,653649,346,52064.0,,50858.0
2024-12-30,Campaign_43,TikTok,5167.84,882593,18025,,,207314.0
2024-12-30,Campaign_43,TikTok,2250.89,188118,783,,,13556.0
2024-12-30,Campiagn_14,Meta,3554.32,885874,2361,1098.0,972.0,
2024-12-30,Campaign_25,Google Ads,13484.630542,687127,69,426340.0,,386570.0
2024-12-30,Campaign_25,Google Ads,5292.744657,1804984,27855,136.0,,0.0
2024-12-30,Campaign_25,Google Ads,23009.944419,1276138,52321,357841.0,,315740.0
2024-12-30,Campiagn_48,TikTok,15129.74,1713207,111252,,,531030.0
2024-12-30,Campaign_65,YouTube,10944.552846,951191,769,185024.0,,182159.0
2024-12-30,Campaign_12,Meta,12996.16,1278503,19642,796311.0,433.0,
2024-12-30,Campaign_12,Meta,3912.88,814822,1020,34021.0,497.0,
2024-12-30,Campaign_11,Meta,5557.9,111827,764,5601.0,299.0,
2024-12-30,Campaign_65,YouTube,5174.951151,512185,1229,128573.0,,123480.0
2024-12-30,Campiagn_14,Meta,856.52,57849,307,8036.0,144.0,
2024-12-30,Campaign_25,Google Ads,4150.542962,264309,10764,68686.0,,58334.0
2024-12-30,Campaign_12,Meta,5197.51,593675,5240,263853.0,0.0,
2024-12-30,Campaign_65,YouTube,4078.689655,434966,210,27760.0,,27006.0
2024-12-30,Campaign_17,Meta,16107.11,1460536,6655,83503.0,6477.0,
2024-12-30,Campiagn_14,Meta,31273.98,2326694,4919,159992.0,1134.0,
2024-12-30,Campaign_25,Google Ads,12348.924527,2298240,41260,17.0,,0.0
2024-12-30,Campaign_45,TikTok,8651.92,1561168,2546,,,9181.0
2024-12-30,Campiagn_14,Meta,11813.81,690290,46214,145017.0,31861.0,
2024-12-30,Campaign_43,TikTok,8704.95,928623,73305,,,279136.0
2024-12-30,Campaign_11,Meta,11142.71,101355,716,6533.0,257.0,
2024-12-30,Campaign_62,YouTube,3798.169651,317492,28,309375.0,,309375.0
2024-12-30,Campaign_29,Google Ads,16883.428089,2542334,3722,635659.0,,602074.0
2024-12-30,Campiagn_14,Meta,7076.93,526859,23052,93181.0,14953.0,
2024-12-30,Campaign_7,DV360,3346.183898,435100,436,0.0,,182773.0
2024-12-29,Campaign_29,Google Ads,2955.9754,240936,846,150858.0,,127005.0
2024-12-29,Campiagn_14,Meta,1471.39,101570,287,7612.0,86.0,
2024-12-29,Campaign_25,Google Ads,11494.373346,2175160,35026,30.0,,0.0
2024-12-29,Campaign_12,Meta,8125.54,1224633,41907,721407.0,2.0,
2024-12-29,Campaign_30,Google Ads,3055.755728,86199,0,0.0,,0.0
2024-12-29,Campiagn_14,Meta,7249.909999,601018,22477,101757.0,14647.0,
2024-12-29,Campaign_65,YouTube,6354.056857,669252,453,44068.0,,42668.0
2024-12-29,Campaign_25,Google Ads,5612.640176,361202,179,131094.0,,112606.0
2024-12-29,Campaign_43,TikTok,6228.97,627110,3021,,,71013.0
2024-12-29,Campaign_65,YouTube,10942.221799,924405,756,175303.0,,172444.0
2024-12-29,Campaign_25,Google Ads,3795.224438,233431,9535,61424.0,,53699.0
2024-12-29,Campaign_60,YouTube,35961.854825,3780055,1520,743660.0,,691429.0
2024-12-29,Campaign_53,TikTok,12554.27,1427003,94358,,,395935.0
2024-12-29,Campaign_65,YouTube,10129.293915,794041,458,185700.0,,183284.0
2024-12-29,Campiagn_14,Meta,12557.41,815970,50868,175078.0,35548.0,
2024-12-29,Campaign_25,Google Ads,23622.681905,1258331,52447,353204.0,,315726.0
2024-12-29,Campaign_12,Meta,8431.049999,1653722,2407,53891.0,1235.0,
2024-12-29,Campaign_16,Meta,7061.1,341731,19606,70202.0,14616.0,
2024-12-29,Campaign_63,YouTube,13486.488677,953900,462,582970.0,,580998.0
2024-12-29,Campaign_43,TikTok,6372.29,561482,3384,,,37993.0
2024-12-29,Campaign_62,YouTube,3077.90219,251202,13,245061.0,,245066.0
2024-12-29,Campaign_25,Google Ads,5213.274208,1851911,3906,0.0,,0.0
2024-12-29,Campaign_15,Meta,3682.53,331262,3225,220722.0,3.0,
2024-12-29,Campiagn_14,Meta,5966.36,1386868,1598,76976.0,355.0,
2024-12-29,Campaign_11,Meta,6534.05,57113,490,3824.0,206.0,
2024-12-29,Campaign_43,TikTok,2317.75,188274,810,,,14535.0
2024-12-29,Campaign_65,YouTube,3021.273863,510424,95,10308.0,,9445.0
2024-12-29,Campiagn_14,Meta,20227.52,965775,5841,99456.0,3616.0,
2024-12-29,Campaign_65,YouTube,6989.326129,741741,488,45946.0,,44448.0
2024-12-29,Campaign_43,TikTok,10890.74,848479,3991,,,66359.0
2024-12-29,Campaign_7,DV360,3388.741486,449263,450,0.0,,180710.0
2024-12-29,Campaign_12,Meta,5431.14,630972,5530,275646.0,3.0,
2024-12-29,Campaign_11,Meta,4993.2,92776,683,5024.0,286.0,
2024-12-29,Campaign_18,Meta,4806.2,565149,18155,298367.0,11.0,
2024-12-29,Campaign_28,Google Ads,5069.851631,398164,607,196077.0,,179987.0
2024-12-29,Campiagn_14,Meta,17247.07,2963807,7133,82364.0,3509.0,
2024-12-29,Campaign_25,Google Ads,12891.399188,626721,18,389452.0,,349445.0
2024-12-29,Campaign_43,TikTok,5110.6,858758,16156,,,211465.0
2024-12-29,Campaign_45,TikTok,8876.9,1562006,2675,,,9183.0
2024-12-29,Campaign_27,Google Ads,5634.780297,195856,37,0.0,,0.0
2024-12-29,Campiagn_48,TikTok,15258.68,1880773,96443,,,631967.0
2024-12-29,Campiagn_14,Meta,3005.56,130123,284,6439.0,88.0,
2024-12-29,Campaign_26,Google Ads,11724.703263,3676995,9902,422849.0,,416276.0
2024-12-29,Campaign_13,Meta,6517.35,1138863,1513,43029.0,558.0,
2024-12-29,Campaign_43,TikTok,6827.5,567604,2247,,,49860.0
2024-12-29,Campaign_11,Meta,5418.13,439006,1647,24372.0,490.0,
2024-12-29,Campaign_6,DV360,4405.792548,333337,1529,0.0,,0.0
2024-12-29,Campiagn_14,Meta,5546.49,315523,641,28663.0,190.0,
2024-12-29,Campaign_44,TikTok,15741.95,1944027,6980,,,271364.0
2024-12-29,Campaign_15,Meta,8056.97,1461571,1764,60584.0,625.0,
2024-12-29,Campiagn_14,Meta,34319.43,2553666,5186,151593.0,1200.0,
2024-12-29,Campiagn_14,Meta,1155.91,59864,290,8837.0,126.0,
2024-12-29,Campaign_25,Google Ads,3826.392021,187345,8041,45981.0,,37793.0
2024-12-29,Campaign_29,Google Ads,12858.712289,2051937,2985,493021.0,,466169.0
2024-12-29,Campaign_13,Meta,13500.28,2178540,2973,100416.0,742.0,
2024-12-29,Campaign_25,Google Ads,4238.82211,222352,10912,64280.0,,62856.0
2024-12-29,Campaign_53,TikTok,10165.049999,644339,129823,,,109167.0
2024-12-29,Campaign_25,Google Ads,2221.353596,116194,5203,30030.0,,26187.0
2024-12-29,Campaign_65,YouTube,6352.529355,641051,377,52388.0,,51009.0
2024-12-29,Campaign_15,Meta,8084.06,1948537,2224,91192.0,426.0,
2024-12-29,Campiagn_14,Meta,837.06,56520,353,7871.0,147.0,
2024-12-29,Campaign_65,YouTube,4076.291776,420824,223,29330.0,,28451.0
2024-12-29,Campaign_60,YouTube,2500.017332,230223,976,109185.0,,78979.0
2024-12-29,Campaign_15,Meta,8091.89,1817295,1785,88731.0,475.0,
2024-12-29,Campaign_16,Meta,16017.1,899448,44793,165750.0,35206.0,
2024-12-29,Campiagn_14,Meta,3761.44,948245,2771,1295.0,1205.0,
2024-12-29,Campaign_43,TikTok,3803.38,755924,1639,,,7235.0
2024-12-29,Campaign_62,YouTube,5456.664625,816331,332,85052.0,,67124.0
2024-12-29,Campaign_25,Google Ads,4509.45187,831821,2150,168862.0,,159514.0
2024-12-29,Campaign_43,TikTok,12829.16,1615506,30256,,,208857.0
2024-12-29,Campaign_12,Meta,10367.03,2384774,3340,108965.0,684.0,
2024-12-29,Campaign_44,TikTok,4488.63,529995,4968,,,107561.0
2024-12-29,Campaign_43,TikTok,8897.75,997834,66632,,,328169.0
2024-12-29,Campiagn_14,Meta,6044.19,1043214,1800,40870.0,533.0,
2024-12-29,Campaign_25,Google Ads,4774.411067,1641806,25755,133.0,,0.0
2024-12-29,Campaign_12,Meta,13536.8,1308231,21154,812331.0,384.0,
2024-12-29,Campaign_15,Meta,18937.06,1429834,58923,225633.0,41392.0,
2024-12-29,Campiagn_14,Meta,12109.53,701078,48095,128306.0,31930.0,
2024-12-29,Campaign_19,Meta,6195.41,409484,25131,83306.0,16008.0,
2024-12-29,Campaign_65,YouTube,4497.945754,464926,1114,104682.0,,100135.0
2024-12-29,Campaign_29,Google Ads,2215.752069,456683,6903,57.0,,0.0
2024-12-29,Campaign_12,Meta,4126.96,845886,1106,36239.0,541.0,
2024-12-29,Campaign_25,Google Ads,5352.091328,271024,12166,70811.0,,61204.0
2024-12-29,Campaign_65,YouTube,25430.533414,2693234,1848,107465.0,,104400.0
2024-12-29,Campiagn_14,Meta,7121.92,356604,29045,75680.0,17976.0,
2024-12-29,Campiagn_14,Meta,29027.87,4926176,7543,262654.0,2410.0,
2024-12-29,Campaign_53,TikTok,3524.26,305140,28775,,,75476.0
2024-12-29,Campaign_15,Meta,3959.22,401540,5184,226760.0,0.0,
2024-12-29,Campiagn_14,Meta,17613.92,1585405,4820,2980.0,2794.0,
2024-12-29,Campaign_50,TikTok,3113.44,418187,1757,,,55340.0
2024-12-29,Campaign_19,Meta,3664.03,170942,10698,81672.0,8825.0,
2024-12-29,Campaign_44,TikTok,5960.91,654000,8177,,,138645.0
2024-12-29,Campaign_43,TikTok,5326.57,475334,1641,,,32022.0
2024-12-29,Campaign_53,TikTok,8789.869999,1037984,67012,,,386069.0
2024-12-29,Campaign_17,Meta,17180.19,1121279,7223,76323.0,6823.0,
2024-12-28,Campaign_16,Meta,6879.3,350806,19620,71796.0,14746.0,
2024-12-28,Campaign_6,DV360,4323.929595,343290,1459,0.0,,0.0
2024-12-28,Campiagn_14,Meta,28692.87,4860246,7062,255375.0,2143.0,
2024-12-28,Campaign_25,Google Ads,4301.426155,227893,11181,66234.0,,64388.0
2024-12-28,Campaign_60,YouTube,36554.857584,3984819,1119,927078.0,,877101.0
2024-12-28,Campaign_27,Google Ads,5729.8332,199160,41,0.0,,0.0
2024-12-28,Campaign_11,Meta,6152.51,72951,625,5224.0,279.0,
2024-12-28,Campiagn_14,Meta,5914.83,1341736,1622,75634.0,369.0,
2024-12-28,Campaign_12,Meta,10229.22,2332102,3310,99602.0,746.0,
2024-12-28,Campiagn_14,Meta,1006.55,67920,396,9690.0,195.0,
2024-12-28,Campaign_28,Google Ads,6287.890837,457107,765,213813.0,,196511.0
2024-12-28,Campaign_45,TikTok,8816.81,1445571,2385,,,8146.0
2024-12-28,Campaign_60,YouTube,2537.259854,219667,1054,88949.0,,59304.0
2024-12-28,Campaign_25,Google Ads,5526.702835,1969815,4195,0.0,,0.0
2024-12-28,Campaign_25,Google Ads,4850.592126,865191,1863,297827.0,,282088.0
2024-12-28,Campaign_15,Meta,3927.1,401339,5556,232621.0,0.0,
2024-12-28,Campaign_25,Google Ads,2253.190784,116258,5253,31519.0,,28196.0
2024-12-28,Campiagn_48,TikTok,15238.43,2090200,94942,,,646732.0
2024-12-28,Campaign_29,Google Ads,3002.817559,243836,770,165896.0,,143744.0
2024-12-28,Campaign_65,YouTube,10942.912601,1006848,726,172311.0,,168790.0
2024-12-28,Campiagn_14,Meta,18650.09,1060754,5648,101541.0,3452.0,
2024-12-28,Campaign_15,Meta,18626.09,1414075,57846,225927.0,40903.0,
2024-12-28,Campaign_65,YouTube,6351.175706,649403,348,51538.0,,50349.0
2024-12-28,Campaign_30,Google Ads,3107.6179,87662,2,0.0,,0.0
2024-12-28,Campiagn_14,Meta,32237.26,2398364,4495,125398.0,1088.0,
2024-12-28,Campaign_25,Google Ads,5436.892301,268227,12106,71717.0,,62966.0
2024-12-28,Campaign_12,Meta,7819.7,1164459,41505,704859.0,5.0,
2024-12-28,Campaign_13,Meta,6476.45,1109210,1447,42138.0,526.0,
2024-12-28,Campaign_15,Meta,7995.79,1776632,1912,91415.0,532.0,
2024-12-28,Campaign_12,Meta,13114.99,1269145,21617,811451.0,215.0,
2024-12-28,Campaign_11,Meta,4744.3,104359,789,5670.0,306.0,
2024-12-28,Campiagn_14,Meta,5594.5,318191,623,26255.0,183.0,
2024-12-28,Campaign_25,Google Ads,13101.463257,623529,32,406320.0,,369242.0
2024-12-28,Campaign_43,TikTok,5470.54,451569,1525,,,29373.0
2024-12-28,Campaign_43,TikTok,10527.07,780006,3559,,,56100.0
2024-12-28,Campaign_13,Meta,13227.09,2153778,2940,101419.0,769.0,
2024-12-28,Campaign_15,Meta,3522.92,319321,2976,214195.0,2.0,
2024-12-28,Campiagn_14,Meta,1474.74,76365,366,10585.0,165.0,
2024-12-28,Campaign_65,YouTube,25424.748668,2696631,1742,106195.0,,103332.0
2024-12-28,Campaign_25,Google Ads,5710.406142,375883,243,123174.0,,106883.0
2024-12-28,Campiagn_14,Meta,7510.06,598230,23725,108077.0,15605.0,
2024-12-28,Campaign_65,YouTube,4569.528218,450285,933,115577.0,,111921.0
2024-12-28,Campaign_29,Google Ads,13141.619239,2069389,3041,481395.0,,456987.0
2024-12-28,Campaign_19,Meta,6101.23,481783,25814,89277.0,16499.0,
2024-12-28,Campaign_25,Google Ads,3852.948946,230352,9502,64035.0,,57833.0
2024-12-28,Campaign_43,TikTok,5237.98,828285,16738,,,202297.0
2024-12-28,Campaign_44,TikTok,16227.129999,2001555,7187,,,244017.0
2024-12-28,Campaign_43,TikTok,6293.52,554664,3035,,,64476.0
2024-12-28,Campaign_26,Google Ads,12948.655493,4022257,9759,379612.0,,374277.0
2024-12-28,Campaign_62,YouTube,5447.568532,1007514,448,101943.0,,80021.0
2024-12-28,Campaign_43,TikTok,6682.71,462732,2004,,,43581.0
2024-12-28,Campaign_65,YouTube,4075.20292,415965,205,29140.0,,28412.0
2024-12-28,Campaign_63,YouTube,13467.803011,914637,483,567916.0,,566080.0
2024-12-28,Campaign_43,TikTok,6603.62,622723,3582,,,36025.0
2024-12-28,Campaign_65,YouTube,3071.198186,502807,77,9563.0,,9080.0
2024-12-28,Campiagn_14,Meta,7110.92,279671,28885,67547.0,17927.0,
2024-12-28,Campiagn_14,Meta,3388.98,146692,300,6774.0,76.0,
2024-12-28,Campaign_50,TikTok,3180.12,420326,1614,,,51103.0
2024-12-28,Campaign_18,Meta,4733.71,520821,16391,282379.0,21.0,
2024-12-28,Campaign_12,Meta,8347.69,1612973,2503,52946.0,1285.0,
2024-12-28,Campaign_15,Meta,7968.07,1886478,2099,91389.0,442.0,
